X=1;#1_RESERVE ZZSEQ FAULT
X=2782;#2782_RESERVE ZZSEQ FAULT
X=9009;#9009_R R HOMEP HOME POSITION
X=1361;#1361_RESERVE ZZSEQ FAULT
X=1418;#1418_RESERVE ZZSEQ FAULT

X=2426;#2426_R TREQ TOOL R RELEASED
X=1555;#1555_RESERVE ZZSEQ FAULT
X=1034;#1034_RESERVE ZZSEQ FAULT
X=1981;#1981_RESERVE ZZSEQ FAULT
X=1130;#1130_RESERVE ZZSEQ FAULT
X=7227;#7227_RESERVE ZZSEQ FAULT
X=815;#815_RESERVE ZZSEQ FAULT

X=7055;#7055_RESERVE ZZSEQ FAULT
X=1011;#1011_RESERVE ZZSEQ FAULT
X=837;#837_RESERVE ZZSEQ FAULT
X=1006;#1006_RESERVE ZZSEQ FAULT
X=2525;#2525_R R JRDY WORK READY
X=1157;#1157_RESERVE ZZSEQ FAULT
X=923;#923_RESERVE ZZSEQ FAULT
X=1049;#1049_RESERVE ZZSEQ FAULT
X=675;#675_RESERVE ZZSEQ FAULT
X=1398;#1398_RESERVE ZZSEQ FAULT
X=2112;#2112_R R AREL AREA RELEASED

X=7330;#7330_THE K RELAY OUTPUT LOAD CONV
X=7237;#7237_THE S THE SECURITY GATE CLOSED
X=7236;#7236_THE S THE SECURITY GATE CLOSED
X=7578;#7578_RAMS MODULSTATUS FAULT ETHERNET RING SAFETY SWITCH
X=1170;#1170_RESERVE ZZSEQ FAULT
X=1432;#1432_RESERVE ZZSEQ FAULT

X=1047;#1047_RESERVE ZZSEQ FAULT
X=7786;#7786_RESERVE ZZSEQ FAULT
X=3186;#3186_RESERVE ZZSEQ FAULT

X=7341;#7341_THE K AS RELAY OUTPUT FIXT D
X=2649;#2649_RESERVE ZZSEQ FAULT

X=9047;#9047_RESERVE ZZSEQ FAULT
X=2707;#2707_W R RVZ TIMER RDY READY
X=1018;#1018_RESERVE ZZSEQ FAULT
X=1140;#1140_RESERVE ZZSEQ FAULT
X=1586;#1586_RESERVE ZZSEQ FAULT
X=2693;#2693_W R RVZ TIMER RDY READY
X=1434;#1434_RESERVE ZZSEQ FAULT

X=843;#843_RESERVE ZZSEQ FAULT
X=1378;#1378_RESERVE ZZSEQ FAULT



X=705;#705_RESERVE ZZSEQ FAULT
X=2107;#2107_RESERVE ZZSEQ FAULT
X=7232;#7232_THE S THE SECURITY GATE CLOSED
X=2706;#2706_W R RVZ TIMER RDY READY
X=886;#886_RESERVE ZZSEQ FAULT
X=2684;#2684_R R AUTO AUTOMATIC
X=1385;#1385_RESERVE ZZSEQ FAULT
X=2488;#2488_R R JRDY WORK READY
X=7149;#7149_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=1346;#1346_RESERVE ZZSEQ FAULT
X=959;#959_RESERVE ZZSEQ FAULT
X=2672;#2672_R DESELECTED
X=1106;#1106_RESERVE ZZSEQ FAULT
X=2159;#2159_R R AREL AREA RELEASED
X=965;#965_RESERVE ZZSEQ FAULT
X=718;#718_RESERVE ZZSEQ FAULT
X=5049;#5049_FAULT
X=2705;#2705_W R RVZ TIMER RDY READY
X=806;#806_RESERVE ZZSEQ FAULT
X=9189;#9189_R R AREL AREA RELEASED
X=3319;#3319_SPARE
X=1702;#1702_RESERVE ZZSEQ FAULT
X=1700;#1700_RESERVE ZZSEQ FAULT
X=3137;#3137_R R BNOK BATTERY
X=1286;#1286_ZZSEQ INPOS AGUARD GROUP OPEN CLIP B
X=2376;#2376_R TREQ TOOL R RELEASED
X=3388;#3388_SPARE
X=2717;#2717_PROC W R RVZ FAILURE OF WELDING
X=8036;#8036_RESERVE ZZSEQ FAULT
X=9315;#9315_R TREQ TOOL R RELEASED
X=1229;#1229_RESERVE ZZSEQ FAULT
X=2909;#2909_R RVZ WITHOUT WELDING
X=9351;#9351_R TREQ TOOL R RELEASED
X=1141;#1141_RESERVE ZZSEQ FAULT
X=9393;#9393_R TREQ TOOL R RELEASED
X=884;#884_RESERVE ZZSEQ FAULT
X=2716;#2716_PROC W R RVZ FAILURE OF WELDING
X=2712;#2712_PROC W R RVZ FAILURE OF WELDING
X=5159;#5159_FAULT
X=1334;#1334_ZZSEQ INPOS AGUARD CLIP B GROUP CLOSED
X=1062;#1062_RESERVE ZZSEQ FAULT
X=1211;#1211_RESERVE ZZSEQ FAULT
X=977;#977_RESERVE ZZSEQ FAULT
X=1951;#1951_RESERVE ZZSEQ FAULT
X=2754;#2754_R RVZ CONTACTOR OK
X=3149;#3149_RESERVE ZZSEQ FAULT
X=8207;#8207_RESERVE ZZSEQ FAULT
X=8220;#8220_RESERVE ZZSEQ FAULT
X=9486;#9486_R R JRDY WORK READY
X=1347;#1347_RESERVE ZZSEQ FAULT


X=8206;#8206_RESERVE ZZSEQ FAULT

X=1107;#1107_RESERVE ZZSEQ FAULT
X=1782;#1782_RESERVE ZZSEQ FAULT
X=9425;#9425_R TREQ TOOL R RELEASED
X=1655;#1655_RESERVE ZZSEQ FAULT
X=1147;#1147_RESERVE ZZSEQ FAULT
X=2739;#2739_W KSR R RVZ SEMKSR
X=2740;#2740_W KSR R RVZ SEMKSR
X=4305;#4305_STEP
X=1124;#1124_RESERVE ZZSEQ FAULT
X=8242;#8242_RESERVE ZZSEQ FAULT
X=1171;#1171_RESERVE ZZSEQ FAULT
X=9536;#9536_R R JRDY WORK READY
X=962;#962_R PULLTIP ACTIVE PULL ACTIVE TIP ROBOT R
X=1123;#1123_RESERVE ZZSEQ FAULT

X=902;#902_RESERVE ZZSEQ FAULT
X=1751;#1751_RESERVE ZZSEQ FAULT
X=8251;#8251_RESERVE ZZSEQ FAULT
X=1112;#1112_RESERVE ZZSEQ FAULT
X=8252;#8252_RESERVE ZZSEQ FAULT
X=9394;#9394_R TREQ TOOL R RELEASED
X=932;#932_RESERVE ZZSEQ FAULT
X=5121;#5121_FAULT

X=3102;#3102_RESERVE ZZSEQ FAULT
X=8284;#8284_ZZSEQ INPOS AGUARD GROUP OPEN CLIP B
X=1023;#1023_RESERVE ZZSEQ FAULT
X=5124;#5124_FAULT
X=8301;#8301_ZZSEQ INPOS AGUARD CLIP B GROUP CLOSED
X=3099;#3099_RESERVE ZZSEQ FAULT


X=1138;#1138_RESERVE ZZSEQ FAULT
X=8349;#8349_RESERVE ZZSEQ FAULT
X=1219;#1219_RESERVE ZZSEQ FAULT


X=1164;#1164_RESERVE ZZSEQ FAULT
X=9559;#9559_RESERVE ZZSEQ FAULT
X=1907;#1907_RESERVE ZZSEQ FAULT
X=8574;#8574_RESERVE ZZSEQ FAULT
X=934;#934_RESERVE ZZSEQ FAULT
X=1308;#1308_RESERVE ZZSEQ FAULT
X=7085;#7085_RESERVE ZZSEQ FAULT
X=875;#875_RESERVE ZZSEQ FAULT
X=9555;#9555_R R JRDY WORK READY
X=3353;#3353_SPARE
X=3378;#3378_SPARE

X=9574;#9574_R R JRDY WORK READY
X=2937;#2937_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=1061;#1061_RESERVE ZZSEQ FAULT
X=939;#939_RESERVE ZZSEQ FAULT
X=762;#762_RESERVE ZZSEQ FAULT
X=931;#931_RESERVE ZZSEQ FAULT
X=3377;#3377_SPARE
X=4032;#4032_FRESA R
X=1532;#1532_RESERVE ZZSEQ FAULT
X=740;#740_RESERVE ZZSEQ FAULT
X=4023;#4023_WELDING ROBOTT
X=7623;#7623_THE KQ FT PROGRAMMABLE DEVICE FULGA EARTH NOK
X=9605;#9605_R R JRDY WORK READY
X=1777;#1777_RESERVE ZZSEQ FAULT

X=799;#799_RESERVE ZZSEQ FAULT
X=8672;#8672_RESERVE ZZSEQ FAULT
X=8833;#8833_RESERVE ZZSEQ FAULT

X=1009;#1009_RESERVE ZZSEQ FAULT
X=832;#832_RESERVE ZZSEQ FAULT
X=1095;#1095_RESERVE ZZSEQ FAULT
X=8857;#8857_R R AREL AREA RELEASED
X=5106;#5106_FAULT
X=3108;#3108_ZZSEQ FWAITSEQSTART HOME ESTACAO
X=5123;#5123_FAULT
X=8834;#8834_RESERVE ZZSEQ FAULT
X=7066;#7066_THE F F F BREAKER OK
X=5096;#5096_FAULT
X=1003;#1003_RESERVE ZZSEQ FAULT
X=8932;#8932_R R ON PATH PATH
X=1979;#1979_RESERVE ZZSEQ FAULT
X=774;#774_RESERVE ZZSEQ FAULT
X=8815;#8815_RESERVE ZZSEQ FAULT
X=1195;#1195_RESERVE ZZSEQ FAULT

X=1497;#1497_RESERVE ZZSEQ FAULT

X=9664;#9664_R SERVP R MAINTENANCE POSITION
X=5249;#5249_FAULT
X=7069;#7069_THE F CB F BREAKER OK
X=9670;#9670_R DESELECTED
X=5261;#5261_FAULT
X=8969;#8969_R R DCP DCP FAULT
X=7994;#7994_RESERVE ZZSEQ FAULT
X=9624;#9624_ZZROBOTT TYPEOK R PROGRAM NUMBER INCORRECT
X=9669;#9669_R DESELECTED
X=9668;#9668_R DESELECTED
X=9780;#9780_W S R RVZ CALIPER TEMPERATURE EXCEEDED

X=2476;#2476_R R JRDY WORK READY
X=2833;#2833_R RVZ AIR PRESSURE
X=9666;#9666_R DESELECTED
X=2738;#2738_W KSR R RVZ SEMKSR
X=9735;#9735_W KSR R RVZ SEMKSR
X=935;#935_RESERVE ZZSEQ FAULT


X=7126;#7126_RESERVE ZZSEQ FAULT
X=5017;#5017_FAULT
X=5266;#5266_FAULT
X=7183;#7183_RESERVE ZZSEQ FAULT
X=2570;#2570_R R JRDY WORK READY
X=1958;#1958_R R FAULT FAULT
X=5210;#5210_FAULT
X=665;#665_RESERVE ZZSEQ FAULT
X=9074;#9074_RESERVE ZZSEQ FAULT
X=5248;#5248_FAULT
X=2130;#2130_R R AREL AREA RELEASED

X=9116;#9116_R R AREL AREA RELEASED
X=1549;#1549_RESERVE ZZSEQ FAULT

X=8101;#8101_RESERVE ZZSEQ FAULT
X=2704;#2704_W R RVZ TIMER RDY READY
X=8070;#8070_RESERVE ZZSEQ FAULT
X=9166;#9166_R R AREL AREA RELEASED
X=7131;#7131_R LES CHANNEL EMERGENCY STOP ROBOT

X=1135;#1135_RESERVE ZZSEQ FAULT
X=7129;#7129_R LES CHANNEL EMERGENCY STOP ROBOT
X=7128;#7128_R LES CHANNEL EMERGENCY STOP ROBOT
X=9779;#9779_W S R RVZ CALIPER TEMPERATURE EXCEEDED
X=7187;#7187_RESERVE ZZSEQ FAULT
X=2709;#2709_PROC W R RVZ FAILURE OF WELDING
X=1216;#1216_RESERVE ZZSEQ FAULT
X=2683;#2683_R R AUTO AUTOMATIC

X=9310;#9310_R TREQ TOOL R RELEASED
X=1208;#1208_RESERVE ZZSEQ FAULT
X=754;#754_RESERVE ZZSEQ FAULT
X=973;#973_RESERVE ZZSEQ FAULT
X=8118;#8118_RESERVE ZZSEQ FAULT
X=7188;#7188_RESERVE ZZSEQ FAULT












































































X=876;#876_RESERVE ZZSEQ FAULT
X=981;#981_RESERVE ZZSEQ FAULT
X=1922;#1922_R R AUTO AUTOMATIC MODE
X=1269;#1269_RESERVE ZZSEQ FAULT


X=881;#881_RESERVE ZZSEQ FAULT
X=1101;#1101_RESERVE ZZSEQ FAULT
X=1029;#1029_RESERVE ZZSEQ FAULT

X=7360;#7360_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=1615;#1615_RESERVE ZZSEQ FAULT

X=8178;#8178_RESERVE ZZSEQ FAULT


X=7382;#7382_RESERVE ZZSEQ FAULT
X=1065;#1065_RESERVE ZZSEQ FAULT
X=1234;#1234_RESERVE ZZSEQ FAULT
X=1720;#1720_RESERVE ZZSEQ FAULT
X=883;#883_RESERVE ZZSEQ FAULT
X=1045;#1045_RESERVE ZZSEQ FAULT
X=9327;#9327_R TREQ TOOL R RELEASED
X=863;#863_RESERVE ZZSEQ FAULT
X=944;#944_RESERVE ZZSEQ FAULT
X=900;#900_RESERVE ZZSEQ FAULT
X=957;#957_RESERVE ZZSEQ FAULT
X=1732;#1732_RESERVE ZZSEQ FAULT

X=887;#887_RESERVE ZZSEQ FAULT
X=1352;#1352_RESERVE ZZSEQ FAULT
X=7501;#7501_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
X=748;#748_RESERVE ZZSEQ FAULT
X=8492;#8492_RESERVE ZZSEQ FAULT
X=8317;#8317_ZZSEQ INPOS AGUARD GROUP OPEN CLIP B
X=1698;#1698_RESERVE ZZSEQ FAULT
X=1167;#1167_RESERVE ZZSEQ FAULT
X=2100;#2100_RESERVE ZZSEQ FAULT
X=8304;#8304_RESERVE ZZSEQ FAULT
X=5168;#5168_FAULT
X=2998;#2998_RESERVE ZZSEQ FAULT
X=7226;#7226_RESERVE ZZSEQ FAULT
X=879;#879_RESERVE ZZSEQ FAULT
X=1155;#1155_RESERVE ZZSEQ FAULT
X=933;#933_RESERVE ZZSEQ FAULT
X=1275;#1275_RESERVE ZZSEQ FAULT
X=9456;#9456_R R JRDY WORK READY
X=768;#768_RESERVE ZZSEQ FAULT
X=8243;#8243_RESERVE ZZSEQ FAULT
X=2847;#2847_RESERVE ZZSEQ FAULT
X=1137;#1137_RESERVE ZZSEQ FAULT
X=2987;#2987_RESERVE ZZSEQ FAULT
X=1025;#1025_RESERVE ZZSEQ FAULT
X=7797;#7797_RESERVE ZZSEQ FAULT

X=1728;#1728_RESERVE ZZSEQ FAULT


X=758;#758_RESERVE ZZSEQ FAULT
X=1074;#1074_RESERVE ZZSEQ FAULT
X=3167;#3167_RESERVE ZZSEQ FAULT
X=970;#970_RESERVE ZZSEQ FAULT






X=929;#929_X U R I DRIVESTATUS POWERFLEX DRIVE FAULT




X=1804;#1804_RESERVE ZZSEQ FAULT
X=3376;#3376_SPARE






X=1019;#1019_RESERVE ZZSEQ FAULT



X=3352;#3352_FIXT MOVE B TO WORK POS

X=8209;#8209_RESERVE ZZSEQ FAULT
X=1077;#1077_RESERVE ZZSEQ FAULT


X=1196;#1196_RESERVE ZZSEQ FAULT
X=5090;#5090_TOOL TRAY

X=9885;#9885_W TRQ R RVZ MILL REQUIRED
X=5216;#5216_FAULT






X=8267;#8267_RESERVE ZZSEQ FAULT


X=1098;#1098_RESERVE ZZSEQ FAULT
X=9580;#9580_R R JRDY WORK READY





X=1481;#1481_RESERVE ZZSEQ FAULT
X=1894;#1894_CONFIRMS R DESELECTION
X=8325;#8325_ZZSEQ INPOS AGUARD GROUP B ROCKER INDENTED





X=2206;#2206_RESERVE ZZSEQ FAULT

X=946;#946_RESERVE ZZSEQ FAULT













X=5082;#5082_TOOL TRAY
X=1897;#1897_CONFIRMS R DESELECTION
X=3005;#3005_RESERVE ZZSEQ FAULT
X=2006;#2006_R R HOMEP HOME POSITION
X=2042;#2042_R NNR STROBE STROBE IN MLEAD
X=7754;#7754_RESERVE ZZSEQ FAULT
X=9665;#9665_R SERVP R MAINTENANCE POSITION
X=8068;#8068_RESERVE ZZSEQ FAULT
X=9662;#9662_R SERVP R MAINTENANCE POSITION

X=9924;#9924_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=7717;#7717_RESERVE ZZSEQ FAULT
X=5122;#5122_FAULT
X=2226;#2226_R R AREL AREA RELEASED
X=2218;#2218_R R AREL AREA RELEASED
X=2657;#2657_R SERVP R MAINTENANCE POSITION
X=7650;#7650_RESERVE ZZSEQ FAULT
X=2183;#2183_R R AREL AREA RELEASED
X=8578;#8578_RESERVE ZZSEQ FAULT
X=2811;#2811_I WRS R RESET WATER BIT
X=1997;#1997_R R HOMEP HOME POSITION
X=4052;#4052_ROBOT
X=7082;#7082_RESERVE ZZSEQ FAULT





X=9667;#9667_R DESELECTED

X=9663;#9663_R SERVP R MAINTENANCE POSITION
X=8695;#8695_RESERVE ZZSEQ FAULT




X=7132;#7132_R LES CHANNEL EMERGENCY STOP ROBOT
X=9742;#9742_W KSR R RVZ SEMKSR
X=2165;#2165_R R AREL AREA RELEASED




X=5243;#5243_FAULT
X=1010;#1010_RESERVE ZZSEQ FAULT

X=8913;#8913_RESERVE ZZSEQ FAULT

X=9782;#9782_RESERVE ZZSEQ FAULT


X=2612;#2612_R R JRDY WORK READY
X=3068;#3068_RESERVE ZZSEQ FAULT

X=5279;#5279_FAULT








X=9738;#9738_W KSR R RVZ SEMKSR


X=8744;#8744_RESERVE ZZSEQ FAULT
X=7127;#7127_RESERVE ZZSEQ FAULT

X=9724;#9724_PROC W R RVZ FAILURE OF WELDING



X=1671;#1671_RESERVE ZZSEQ FAULT

X=2928;#2928_G S R RVZ CALIPER FAILURE OF SPEED OF FRES


X=7068;#7068_THE F CB F BREAKER OK

X=9781;#9781_W S R RVZ CALIPER TEMPERATURE EXCEEDED
X=1207;#1207_RESERVE ZZSEQ FAULT



X=1247;#1247_RESERVE ZZSEQ FAULT
X=5206;#5206_FAULT



X=8432;#8432_RESERVE ZZSEQ FAULT
X=1240;#1240_RESERVE ZZSEQ FAULT
X=3109;#3109_SEMI AUTOMATIC MODE ZZSEQ FWAITSEMIRESEQ









X=2143;#2143_RESERVE ZZSEQ FAULT

X=1185;#1185_RESERVE ZZSEQ FAULT
X=2750;#2750_RESERVE ZZSEQ FAULT
X=7491;#7491_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT

X=880;#880_RESERVE ZZSEQ FAULT

X=5061;#5061_FAULT
X=1000;#1000_RESERVE ZZSEQ FAULT


X=747;#747_RESERVE ZZSEQ FAULT


X=913;#913_RESERVE ZZSEQ FAULT

X=8813;#8813_RESERVE ZZSEQ FAULT



X=950;#950_RESERVE ZZSEQ FAULT

X=3123;#3123_RESERVE ZZSEQ FAULT
X=937;#937_RESERVE ZZSEQ FAULT


X=8832;#8832_RESERVE ZZSEQ FAULT

X=1246;#1246_RESERVE ZZSEQ FAULT
X=1028;#1028_RESERVE ZZSEQ FAULT




X=1033;#1033_RESERVE ZZSEQ FAULT







X=1051;#1051_RESERVE ZZSEQ FAULT
X=990;#990_RESERVE ZZSEQ FAULT
X=1059;#1059_RESERVE ZZSEQ FAULT
X=1587;#1587_RESERVE ZZSEQ FAULT


































































































































































































































































































































































































































































































































































































































































































































X=2181;#2181_R R AREL AREA RELEASED
X=1014;#1014_RESERVE ZZSEQ FAULT
X=2199;#2199_R R AREL AREA RELEASED

X=1037;#1037_RESERVE ZZSEQ FAULT
X=7808;#7808_RESERVE ZZSEQ FAULT
X=9925;#9925_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=2111;#2111_RESERVE ZZSEQ FAULT
X=9926;#9926_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=3066;#3066_RESERVE ZZSEQ FAULT
X=2674;#2674_R DESELECTED

X=9928;#9928_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=9930;#9930_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=1024;#1024_RESERVE ZZSEQ FAULT
X=8871;#8871_R R AREL AREA RELEASED




X=1835;#1835_RESERVE ZZSEQ FAULT





X=2053;#2053_R END MILL MANUAL
X=1594;#1594_RESERVE ZZSEQ FAULT


X=7816;#7816_RESERVE ZZSEQ FAULT

X=5074;#5074_FAULT
X=1872;#1872_R R AREL AREA RELEASED

X=2511;#2511_R R JRDY WORK READY

X=5182;#5182_FAULT


X=2467;#2467_R R JRDY WORK READY
X=2198;#2198_R R AREL AREA RELEASED
X=1783;#1783_RESERVE ZZSEQ FAULT


X=2590;#2590_RESERVE ZZSEQ FAULT




X=2215;#2215_R R AREL AREA RELEASED


X=2671;#2671_R DESELECTED




X=2162;#2162_R R AREL AREA RELEASED




X=2166;#2166_R R AREL AREA RELEASED

X=2261;#2261_R R AREL AREA RELEASED



X=1152;#1152_RESERVE ZZSEQ FAULT



X=1896;#1896_CONFIRMS R DESELECTION
X=9085;#9085_R END HOME MANUAL
X=1593;#1593_RESERVE ZZSEQ FAULT
X=2395;#2395_R TREQ TOOL R RELEASED




X=2180;#2180_R R AREL AREA RELEASED
X=7290;#7290_RESERVE ZZSEQ FAULT

X=2184;#2184_R R AREL AREA RELEASED

X=1946;#1946_R R DRIVES DRIVE


X=2720;#2720_PROC W R RVZ FAILURE OF WELDING

X=2409;#2409_R TREQ TOOL R RELEASED
X=9931;#9931_G S R RVZ CALIPER FAILURE OF SPEED OF FRES








X=2691;#2691_W R RVZ TIMER RDY READY










X=9202;#9202_R R AREL AREA RELEASED









X=9230;#9230_R R AREL AREA RELEASED

X=9266;#9266_R R AREL AREA RELEASED
X=2673;#2673_R DESELECTED
X=874;#874_RESERVE ZZSEQ FAULT
X=2990;#2990_RESERVE ZZSEQ FAULT
X=9961;#9961_RESERVE ZZSEQ FAULT
X=9933;#9933_G S R RVZ CALIPER FAILURE OF SPEED OF FRES


X=2846;#2846_RESERVE ZZSEQ FAULT



X=9935;#9935_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=9269;#9269_R R AREL AREA RELEASED


X=1893;#1893_CONFIRMS R DESELECTION



X=5174;#5174_FAULT


X=9395;#9395_R TREQ TOOL R RELEASED







X=9374;#9374_R TREQ TOOL R RELEASED











X=1190;#1190_RESERVE ZZSEQ FAULT
X=2746;#2746_W KSR R RVZ SEMKSR












X=2000;#2000_R R HOMEP HOME POSITION






X=9443;#9443_R TREQ TOOL R RELEASED




X=918;#918_RESERVE ZZSEQ FAULT
X=7851;#7851_RESERVE ZZSEQ FAULT







X=706;#706_RESERVE ZZSEQ FAULT
X=1319;#1319_ZZSEQ INPOS AGUARD GROUP OPEN CLIP B

X=958;#958_PART TYPE PARTWOUTTYPE SEMTYPE












X=7479;#7479_RESERVE ZZSEQ FAULT








X=810;#810_RESERVE ZZSEQ FAULT


X=1156;#1156_RESERVE ZZSEQ FAULT
X=687;#687_RESERVE ZZSEQ FAULT

X=2250;#2250_R R AREL AREA RELEASED








X=711;#711_RESERVE ZZSEQ FAULT






X=998;#998_RESERVE ZZSEQ FAULT














X=972;#972_RESERVE ZZSEQ FAULT


X=5177;#5177_FAULT

X=4030;#4030_ALL






X=2071;#2071_RESERVE ZZSEQ FAULT









X=1859;#1859_R R AREL AREA RELEASED






X=9609;#9609_R R JRDY WORK READY
X=890;#890_RESERVE ZZSEQ FAULT
X=1012;#1012_RESERVE ZZSEQ FAULT













X=1656;#1656_RESERVE ZZSEQ FAULT


















































































































































































































































































































































































































































































































































































































































































































































































































































































X=2742;#2742_W KSR R RVZ SEMKSR

X=7558;#7558_THE M MODULESTATUS SAFETY FAULT ETHERNET PORTAO
X=1085;#1085_RESERVE ZZSEQ FAULT
X=7913;#7913_RESERVE ZZSEQ FAULT
X=5199;#5199_FAULT

X=985;#985_RESERVE ZZSEQ FAULT
X=9941;#9941_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=9929;#9929_G S R RVZ CALIPER FAILURE OF SPEED OF FRES

X=5172;#5172_FAULT
X=5260;#5260_FAULT
X=2675;#2675_R DESELECTED
X=9927;#9927_G S R RVZ CALIPER FAILURE OF SPEED OF FRES
X=9947;#9947_W CHG REPLACEMENT ELECTRODE
X=943;#943_RESERVE ZZSEQ FAULT
X=2735;#2735_W KSR R RVZ SEMKSR
X=9959;#9959_RESERVE ZZSEQ FAULT
X=2182;#2182_R R AREL AREA RELEASED
X=997;#997_RESERVE ZZSEQ FAULT
X=5276;#5276_FAULT
X=1058;#1058_RESERVE ZZSEQ FAULT
X=1096;#1096_RESERVE ZZSEQ FAULT
X=1456;#1456_RESERVE ZZSEQ FAULT

X=938;#938_RESERVE ZZSEQ FAULT
X=2841;#2841_R RVZ AIR PRESSURE
X=9963;#9963_RESERVE ZZSEQ FAULT
X=5105;#5105_FAULT
X=7067;#7067_THE F BREAKER OK
X=9942;#9942_RESERVE ZZSEQ FAULT
X=2728;#2728_PROC W R RVZ FAILURE OF WELDING
X=2734;#2734_W KSR R RVZ SEMKSR
X=10008;#10008_THE S STARTER BUTTON
X=5268;#5268_FAULT
